artist_id,name,birth_date,nationality
A001,Claude Monet,1840-11-14,French
A002,Pablo Picasso,1881-10-25,Spanish
A003,Unknown Artist,,
A004,Leonardo da Vinci,1452-04-15,Italian
A005,Frida Kahlo,1907-07-06,Mexican
A006,Rembrandt van Rijn,1606-07-15,Dutch
A007,Georgia O'Keeffe,1887-11-15,American
A008,Edvard Munch,1863-12-12,Norwegian
A009,Vincent van Gogh,1853-03-30,Dutch
A010,Salvador Dalí,1904-05-11,Spanish
A011,Unknown,,
A012,Pablo Picasso,1881-10-25,Argentinian
A012,Pablo Picasso,1881-10-25,Spanish
A013,Claude Monet,1840-11-14,
A014,Leonardo da Vinci,1452-04-15,Italy
A015,Frida K.,1907-07-06,
A016,Contemporary Artist,1975-06-01,British
A002,Pablo Picasso,1881-10-25,Spanish
